2026-04-06T12:22:10 | INFO     | CAM-A5               | Sensor iniciado | intersección=INT-A5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-A5               | [Publicado] vol= 23 veh | vel= 14.2 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-A5               | [Publicado] vol=  1 veh | vel= 47.8 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-A5               | [Publicado] vol=  9 veh | vel= 35.6 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-A5               | [Publicado] vol=  6 veh | vel= 39.0 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-A5               | [Publicado] vol= 10 veh | vel= 36.5 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-A5               | [Publicado] vol=  1 veh | vel= 27.7 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-A5               | [Publicado] vol=  4 veh | vel= 28.2 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-A5               | [Publicado] vol=  8 veh | vel= 44.6 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-A5               | [Publicado] vol=  8 veh | vel= 42.5 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-A5               | [Publicado] vol=  5 veh | vel= 48.2 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-A5               | [Publicado] vol=  5 veh | vel= 33.3 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-A5               | [Publicado] vol= 13 veh | vel= 29.0 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-A5               | [Publicado] vol=  9 veh | vel= 38.0 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-A5               | [Publicado] vol=  9 veh | vel= 39.5 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-A5               | [Publicado] vol= 19 veh | vel= 20.7 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-A5               | [Publicado] vol=  5 veh | vel= 43.9 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-A5               | [Publicado] vol=  1 veh | vel= 50.2 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-A5               | [Publicado] vol=  6 veh | vel= 30.4 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-A5               | [Publicado] vol=  7 veh | vel= 48.8 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-A5               | [Publicado] vol=  6 veh | vel= 44.7 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-A5               | [Publicado] vol=  2 veh | vel= 28.9 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-A5               | [Publicado] vol=  0 veh | vel= 45.2 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-A5               | [Publicado] vol=  8 veh | vel= 27.6 km/h | semáforo=VERDE
2026-04-06T12:24:05 | INFO     | CAM-A5               | [Publicado] vol= 13 veh | vel= 30.5 km/h | semáforo=ROJO
2026-04-06T12:24:10 | INFO     | CAM-A5               | [Publicado] vol=  8 veh | vel= 36.6 km/h | semáforo=ROJO
2026-04-06T12:24:15 | INFO     | CAM-A5               | [Publicado] vol=  4 veh | vel= 41.5 km/h | semáforo=ROJO
2026-04-06T12:24:20 | INFO     | CAM-A5               | [Publicado] vol= 18 veh | vel= 25.5 km/h | semáforo=ROJO
2026-04-06T12:24:25 | INFO     | CAM-A5               | [Publicado] vol= 13 veh | vel= 31.1 km/h | semáforo=ROJO
2026-04-06T12:24:30 | INFO     | CAM-A5               | [Publicado] vol=  7 veh | vel= 38.4 km/h | semáforo=ROJO
2026-04-06T12:24:35 | INFO     | CAM-A5               | [Publicado] vol=  0 veh | vel= 30.2 km/h | semáforo=VERDE
2026-04-06T12:24:40 | INFO     | CAM-A5               | [Publicado] vol=  5 veh | vel= 31.9 km/h | semáforo=VERDE
2026-04-06T12:24:45 | INFO     | CAM-A5               | [Publicado] vol=  4 veh | vel= 27.5 km/h | semáforo=VERDE
2026-04-06T12:24:50 | INFO     | CAM-A5               | [Publicado] vol=  6 veh | vel= 25.6 km/h | semáforo=VERDE
2026-04-06T12:24:55 | INFO     | CAM-A5               | [Publicado] vol=  4 veh | vel= 28.9 km/h | semáforo=VERDE
2026-04-06T12:25:00 | INFO     | CAM-A5               | [Publicado] vol=  6 veh | vel= 27.7 km/h | semáforo=VERDE
2026-04-06T12:25:05 | INFO     | CAM-A5               | [Publicado] vol= 19 veh | vel= 18.8 km/h | semáforo=ROJO
2026-04-06T12:25:10 | INFO     | CAM-A5               | [Publicado] vol= 15 veh | vel= 25.0 km/h | semáforo=ROJO
2026-04-06T12:25:15 | INFO     | CAM-A5               | [Publicado] vol= 13 veh | vel= 30.6 km/h | semáforo=ROJO
