2026-04-06T12:22:10 | INFO     | CAM-B1               | Sensor iniciado | intersección=INT-B1 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-B1               | [Publicado] vol= 12 veh | vel= 34.8 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-B1               | [Publicado] vol= 12 veh | vel= 34.0 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-B1               | [Publicado] vol=  3 veh | vel= 44.9 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-B1               | [Publicado] vol= 10 veh | vel= 35.2 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-B1               | [Publicado] vol= 19 veh | vel= 23.3 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-B1               | [Publicado] vol=  2 veh | vel= 39.8 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-B1               | [Publicado] vol=  8 veh | vel= 30.7 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-B1               | [Publicado] vol=  5 veh | vel= 46.0 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-B1               | [Publicado] vol=  7 veh | vel= 48.7 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-B1               | [Publicado] vol=  7 veh | vel= 34.8 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-B1               | [Publicado] vol=  0 veh | vel= 38.7 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-B1               | [Publicado] vol= 13 veh | vel= 32.4 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-B1               | [Publicado] vol=  7 veh | vel= 40.2 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-B1               | [Publicado] vol= 22 veh | vel= 14.8 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-B1               | [Publicado] vol=  0 veh | vel= 49.4 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-B1               | [Publicado] vol= 23 veh | vel= 14.7 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-B1               | [Publicado] vol=  6 veh | vel= 43.4 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-B1               | [Publicado] vol=  3 veh | vel= 29.6 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 46.0 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-B1               | [Publicado] vol=  8 veh | vel= 36.5 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-B1               | [Publicado] vol=  8 veh | vel= 45.4 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-B1               | [Publicado] vol=  3 veh | vel= 29.6 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-B1               | [Publicado] vol=  7 veh | vel= 39.3 km/h | semáforo=VERDE
2026-04-06T12:24:05 | INFO     | CAM-B1               | [Publicado] vol= 12 veh | vel= 31.5 km/h | semáforo=ROJO
2026-04-06T12:24:10 | INFO     | CAM-B1               | [Publicado] vol=  6 veh | vel= 42.6 km/h | semáforo=ROJO
2026-04-06T12:24:15 | INFO     | CAM-B1               | [Publicado] vol= 14 veh | vel= 29.8 km/h | semáforo=ROJO
2026-04-06T12:24:20 | INFO     | CAM-B1               | [Publicado] vol= 14 veh | vel= 27.9 km/h | semáforo=ROJO
2026-04-06T12:24:25 | INFO     | CAM-B1               | [Publicado] vol= 13 veh | vel= 31.4 km/h | semáforo=ROJO
2026-04-06T12:24:30 | INFO     | CAM-B1               | [Publicado] vol=  4 veh | vel= 46.8 km/h | semáforo=ROJO
2026-04-06T12:24:35 | INFO     | CAM-B1               | [Publicado] vol=  2 veh | vel= 33.2 km/h | semáforo=VERDE
