2026-04-06T12:22:10 | INFO     | CAM-B5               | Sensor iniciado | intersección=INT-B5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-B5               | [Publicado] vol=  4 veh | vel= 41.1 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-B5               | [Publicado] vol= 10 veh | vel= 35.2 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 23.7 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-B5               | [Publicado] vol= 23 veh | vel= 12.6 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-B5               | [Publicado] vol= 13 veh | vel= 31.8 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 34.1 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-B5               | [Publicado] vol=  5 veh | vel= 48.7 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-B5               | [Publicado] vol=  3 veh | vel= 43.9 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-B5               | [Publicado] vol=  2 veh | vel= 36.1 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-B5               | [Publicado] vol=  0 veh | vel= 46.7 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-B5               | [Publicado] vol=  6 veh | vel= 34.4 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-B5               | [Publicado] vol= 20 veh | vel= 19.0 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-B5               | [Publicado] vol= 14 veh | vel= 26.9 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-B5               | [Publicado] vol= 19 veh | vel= 21.7 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-B5               | [Publicado] vol= 17 veh | vel= 27.1 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-B5               | [Publicado] vol= 15 veh | vel= 26.2 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-B5               | [Publicado] vol= 22 veh | vel= 19.2 km/h | semáforo=ROJO
