2026-04-06T12:22:10 | INFO     | CAM-C4               | Sensor iniciado | intersección=INT-C4 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-C4               | [Publicado] vol=  1 veh | vel= 45.5 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-C4               | [Publicado] vol= 11 veh | vel= 31.1 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-C4               | [Publicado] vol= 19 veh | vel= 21.2 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-C4               | [Publicado] vol=  4 veh | vel= 42.7 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-C4               | [Publicado] vol=  6 veh | vel= 42.4 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 44.8 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 30.9 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-C4               | [Publicado] vol=  7 veh | vel= 43.3 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-C4               | [Publicado] vol=  7 veh | vel= 28.1 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 46.1 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 30.5 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 49.0 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 47.8 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 46.8 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-C4               | [Publicado] vol= 13 veh | vel= 28.3 km/h | semáforo=ROJO
2026-04-06T12:23:25 | INFO     | CAM-C4               | [Publicado] vol= 25 veh | vel= 12.4 km/h | semáforo=ROJO
2026-04-06T12:23:30 | INFO     | CAM-C4               | [Publicado] vol= 16 veh | vel= 23.9 km/h | semáforo=ROJO
2026-04-06T12:23:35 | INFO     | CAM-C4               | [Publicado] vol=  0 veh | vel= 30.3 km/h | semáforo=VERDE
2026-04-06T12:23:40 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 33.4 km/h | semáforo=VERDE
2026-04-06T12:23:45 | INFO     | CAM-C4               | [Publicado] vol=  8 veh | vel= 37.4 km/h | semáforo=VERDE
2026-04-06T12:23:50 | INFO     | CAM-C4               | [Publicado] vol=  3 veh | vel= 37.7 km/h | semáforo=VERDE
2026-04-06T12:23:55 | INFO     | CAM-C4               | [Publicado] vol=  1 veh | vel= 45.4 km/h | semáforo=VERDE
2026-04-06T12:24:00 | INFO     | CAM-C4               | [Publicado] vol=  6 veh | vel= 48.4 km/h | semáforo=VERDE
