2026-04-06T12:22:10 | INFO     | CAM-C5               | Sensor iniciado | intersección=INT-C5 | intervalo=5s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | CAM-C5               | [Publicado] vol= 14 veh | vel= 29.2 km/h | semáforo=ROJO
2026-04-06T12:22:15 | INFO     | CAM-C5               | [Publicado] vol=  6 veh | vel= 40.9 km/h | semáforo=ROJO
2026-04-06T12:22:20 | INFO     | CAM-C5               | [Publicado] vol= 16 veh | vel= 25.9 km/h | semáforo=ROJO
2026-04-06T12:22:25 | INFO     | CAM-C5               | [Publicado] vol=  0 veh | vel= 48.0 km/h | semáforo=ROJO
2026-04-06T12:22:30 | INFO     | CAM-C5               | [Publicado] vol= 19 veh | vel= 19.3 km/h | semáforo=ROJO
2026-04-06T12:22:35 | INFO     | CAM-C5               | [Publicado] vol=  0 veh | vel= 45.8 km/h | semáforo=VERDE
2026-04-06T12:22:40 | INFO     | CAM-C5               | [Publicado] vol=  7 veh | vel= 42.1 km/h | semáforo=VERDE
2026-04-06T12:22:45 | INFO     | CAM-C5               | [Publicado] vol=  1 veh | vel= 50.0 km/h | semáforo=VERDE
2026-04-06T12:22:50 | INFO     | CAM-C5               | [Publicado] vol=  4 veh | vel= 26.3 km/h | semáforo=VERDE
2026-04-06T12:22:55 | INFO     | CAM-C5               | [Publicado] vol=  3 veh | vel= 44.2 km/h | semáforo=VERDE
2026-04-06T12:23:00 | INFO     | CAM-C5               | [Publicado] vol=  7 veh | vel= 31.3 km/h | semáforo=VERDE
2026-04-06T12:23:05 | INFO     | CAM-C5               | [Publicado] vol= 23 veh | vel= 15.2 km/h | semáforo=ROJO
2026-04-06T12:23:10 | INFO     | CAM-C5               | [Publicado] vol= 24 veh | vel= 13.9 km/h | semáforo=ROJO
2026-04-06T12:23:15 | INFO     | CAM-C5               | [Publicado] vol= 12 veh | vel= 31.3 km/h | semáforo=ROJO
2026-04-06T12:23:20 | INFO     | CAM-C5               | [Publicado] vol= 14 veh | vel= 30.6 km/h | semáforo=ROJO
