2026-04-06T12:22:10 | INFO     | ESP-C2               | Sensor iniciado | intersección=INT-C2 | intervalo=30s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | ESP-C2               | [Publicado] vehículos=  6 | intervalo=30s
2026-04-06T12:22:40 | INFO     | ESP-C2               | [Publicado] vehículos=  3 | intervalo=30s
2026-04-06T12:23:10 | INFO     | ESP-C2               | [Publicado] vehículos=  2 | intervalo=30s
2026-04-06T12:23:40 | INFO     | ESP-C2               | [Publicado] vehículos=  9 | intervalo=30s
2026-04-06T12:24:10 | INFO     | ESP-C2               | [Publicado] vehículos=  2 | intervalo=30s
2026-04-06T12:24:40 | INFO     | ESP-C2               | [Publicado] vehículos=  4 | intervalo=30s
2026-04-06T12:25:10 | INFO     | ESP-C2               | [Publicado] vehículos= 13 | intervalo=30s
2026-04-06T12:25:40 | INFO     | ESP-C2               | [Publicado] vehículos= 11 | intervalo=30s
2026-04-06T12:26:10 | INFO     | ESP-C2               | [Publicado] vehículos=  6 | intervalo=30s
2026-04-06T12:26:40 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:27:10 | INFO     | ESP-C2               | [Publicado] vehículos=  3 | intervalo=30s
2026-04-06T12:27:40 | INFO     | ESP-C2               | [Publicado] vehículos= 12 | intervalo=30s
2026-04-06T12:28:10 | INFO     | ESP-C2               | [Publicado] vehículos=  5 | intervalo=30s
2026-04-06T12:28:41 | INFO     | ESP-C2               | [Publicado] vehículos=  6 | intervalo=30s
2026-04-06T12:29:11 | INFO     | ESP-C2               | [Publicado] vehículos= 10 | intervalo=30s
2026-04-06T12:29:41 | INFO     | ESP-C2               | [Publicado] vehículos= 14 | intervalo=30s
2026-04-06T12:30:11 | INFO     | ESP-C2               | [Publicado] vehículos= 14 | intervalo=30s
2026-04-06T12:30:41 | INFO     | ESP-C2               | [Publicado] vehículos=  8 | intervalo=30s
2026-04-06T12:31:11 | INFO     | ESP-C2               | [Publicado] vehículos=  6 | intervalo=30s
2026-04-06T12:31:41 | INFO     | ESP-C2               | [Publicado] vehículos= 10 | intervalo=30s
2026-04-06T12:32:11 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:32:41 | INFO     | ESP-C2               | [Publicado] vehículos=  6 | intervalo=30s
2026-04-06T12:33:11 | INFO     | ESP-C2               | [Publicado] vehículos= 15 | intervalo=30s
2026-04-06T12:33:41 | INFO     | ESP-C2               | [Publicado] vehículos= 14 | intervalo=30s
2026-04-06T12:34:11 | INFO     | ESP-C2               | [Publicado] vehículos=  8 | intervalo=30s
2026-04-06T12:34:41 | INFO     | ESP-C2               | [Publicado] vehículos= 10 | intervalo=30s
2026-04-06T12:35:11 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:35:41 | INFO     | ESP-C2               | [Publicado] vehículos=  4 | intervalo=30s
2026-04-06T12:36:11 | INFO     | ESP-C2               | [Publicado] vehículos=  9 | intervalo=30s
2026-04-06T12:36:41 | INFO     | ESP-C2               | [Publicado] vehículos=  2 | intervalo=30s
2026-04-06T12:37:11 | INFO     | ESP-C2               | [Publicado] vehículos= 10 | intervalo=30s
2026-04-06T12:37:41 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:38:11 | INFO     | ESP-C2               | [Publicado] vehículos=  8 | intervalo=30s
2026-04-06T12:38:41 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:39:11 | INFO     | ESP-C2               | [Publicado] vehículos=  1 | intervalo=30s
2026-04-06T12:39:41 | INFO     | ESP-C2               | [Publicado] vehículos=  9 | intervalo=30s
2026-04-06T12:40:11 | INFO     | ESP-C2               | [Publicado] vehículos=  7 | intervalo=30s
2026-04-06T12:40:41 | INFO     | ESP-C2               | [Publicado] vehículos=  3 | intervalo=30s
2026-04-06T12:41:11 | INFO     | ESP-C2               | [Publicado] vehículos= 11 | intervalo=30s
