2026-04-06T12:22:10 | INFO     | GPS-A2               | Sensor iniciado | intersección=INT-A2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-A2               | [Publicado] velocidad= 30.2 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-A2               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-A2               | [Publicado] velocidad= 13.9 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-A2               | [Publicado] velocidad= 35.0 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-A2               | [Publicado] velocidad= 33.3 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-A2               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-A2               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-A2               | [Publicado] velocidad= 40.1 km/h | nivel=BAJA
2026-04-06T12:23:30 | INFO     | GPS-A2               | [Publicado] velocidad= 14.5 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-A2               | [Publicado] velocidad= 39.8 km/h | nivel=BAJA
2026-04-06T12:23:50 | INFO     | GPS-A2               | [Publicado] velocidad= 34.3 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-A2               | [Publicado] velocidad= 31.1 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-A2               | [Publicado] velocidad= 20.1 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-A2               | [Publicado] velocidad= 16.9 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-A2               | [Publicado] velocidad= 34.7 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-A2               | [Publicado] velocidad= 27.4 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-A2               | [Publicado] velocidad= 41.4 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-A2               | [Publicado] velocidad= 36.6 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-A2               | [Publicado] velocidad= 11.0 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-A2               | [Publicado] velocidad= 23.8 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-A2               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-A2               | [Publicado] velocidad= 21.6 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-A2               | [Publicado] velocidad= 23.5 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-A2               | [Publicado] velocidad= 14.1 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-A2               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-A2               | [Publicado] velocidad= 39.3 km/h | nivel=BAJA
2026-04-06T12:26:30 | INFO     | GPS-A2               | [Publicado] velocidad= 10.7 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-A2               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-A2               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:27:00 | INFO     | GPS-A2               | [Publicado] velocidad= 35.9 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-A2               | [Publicado] velocidad= 29.4 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-A2               | [Publicado] velocidad= 14.4 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-A2               | [Publicado] velocidad= 32.1 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-A2               | [Publicado] velocidad= 10.0 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-A2               | [Publicado] velocidad= 21.2 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-A2               | [Publicado] velocidad= 38.1 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-A2               | [Publicado] velocidad= 36.5 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-A2               | [Publicado] velocidad= 21.6 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-A2               | [Publicado] velocidad= 34.4 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-A2               | [Publicado] velocidad= 18.9 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-A2               | [Publicado] velocidad= 23.7 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-A2               | [Publicado] velocidad= 23.3 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-A2               | [Publicado] velocidad= 41.2 km/h | nivel=BAJA
2026-04-06T12:29:20 | INFO     | GPS-A2               | [Publicado] velocidad= 24.7 km/h | nivel=NORMAL
2026-04-06T12:29:30 | INFO     | GPS-A2               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
