2026-04-06T12:22:10 | INFO     | GPS-A5               | Sensor iniciado | intersección=INT-A5 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-A5               | [Publicado] velocidad= 41.9 km/h | nivel=BAJA
2026-04-06T12:22:20 | INFO     | GPS-A5               | [Publicado] velocidad= 11.3 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-A5               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
2026-04-06T12:22:40 | INFO     | GPS-A5               | [Publicado] velocidad= 27.8 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-A5               | [Publicado] velocidad= 24.3 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-A5               | [Publicado] velocidad= 36.2 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-A5               | [Publicado] velocidad= 38.3 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-A5               | [Publicado] velocidad= 37.1 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-A5               | [Publicado] velocidad= 38.0 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-A5               | [Publicado] velocidad= 45.7 km/h | nivel=BAJA
2026-04-06T12:23:50 | INFO     | GPS-A5               | [Publicado] velocidad= 29.3 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-A5               | [Publicado] velocidad= 32.8 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-A5               | [Publicado] velocidad= 31.5 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-A5               | [Publicado] velocidad= 41.2 km/h | nivel=BAJA
2026-04-06T12:24:30 | INFO     | GPS-A5               | [Publicado] velocidad= 19.0 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-A5               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-A5               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-A5               | [Publicado] velocidad= 42.4 km/h | nivel=BAJA
2026-04-06T12:25:10 | INFO     | GPS-A5               | [Publicado] velocidad= 26.3 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-A5               | [Publicado] velocidad= 26.1 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-A5               | [Publicado] velocidad= 23.7 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-A5               | [Publicado] velocidad= 36.2 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-A5               | [Publicado] velocidad= 49.0 km/h | nivel=BAJA
2026-04-06T12:26:00 | INFO     | GPS-A5               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-A5               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-A5               | [Publicado] velocidad= 19.3 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-A5               | [Publicado] velocidad= 15.2 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-A5               | [Publicado] velocidad= 36.4 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-A5               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-A5               | [Publicado] velocidad= 47.0 km/h | nivel=BAJA
2026-04-06T12:27:10 | INFO     | GPS-A5               | [Publicado] velocidad= 47.8 km/h | nivel=BAJA
2026-04-06T12:27:20 | INFO     | GPS-A5               | [Publicado] velocidad= 17.8 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-A5               | [Publicado] velocidad= 16.9 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-A5               | [Publicado] velocidad= 19.2 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-A5               | [Publicado] velocidad= 26.0 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-A5               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-A5               | [Publicado] velocidad= 27.7 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-A5               | [Publicado] velocidad= 21.2 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-A5               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-A5               | [Publicado] velocidad= 40.6 km/h | nivel=BAJA
2026-04-06T12:28:50 | INFO     | GPS-A5               | [Publicado] velocidad= 24.7 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-A5               | [Publicado] velocidad= 19.9 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-A5               | [Publicado] velocidad= 46.6 km/h | nivel=BAJA
2026-04-06T12:29:20 | INFO     | GPS-A5               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:29:30 | INFO     | GPS-A5               | [Publicado] velocidad= 30.0 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-A5               | [Publicado] velocidad= 26.4 km/h | nivel=NORMAL
2026-04-06T12:29:50 | INFO     | GPS-A5               | [Publicado] velocidad= 19.5 km/h | nivel=NORMAL
2026-04-06T12:30:00 | INFO     | GPS-A5               | [Publicado] velocidad= 13.7 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-A5               | [Publicado] velocidad= 30.8 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-A5               | [Publicado] velocidad= 12.0 km/h | nivel=NORMAL
2026-04-06T12:30:30 | INFO     | GPS-A5               | [Publicado] velocidad= 12.2 km/h | nivel=NORMAL
2026-04-06T12:30:40 | INFO     | GPS-A5               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-A5               | [Publicado] velocidad= 25.2 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-A5               | [Publicado] velocidad= 41.8 km/h | nivel=BAJA
2026-04-06T12:31:10 | INFO     | GPS-A5               | [Publicado] velocidad= 26.8 km/h | nivel=NORMAL
2026-04-06T12:31:20 | INFO     | GPS-A5               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:31:30 | INFO     | GPS-A5               | [Publicado] velocidad= 13.4 km/h | nivel=NORMAL
2026-04-06T12:31:40 | INFO     | GPS-A5               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:31:50 | INFO     | GPS-A5               | [Publicado] velocidad= 36.7 km/h | nivel=NORMAL
2026-04-06T12:32:00 | INFO     | GPS-A5               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
2026-04-06T12:32:10 | INFO     | GPS-A5               | [Publicado] velocidad= 16.1 km/h | nivel=NORMAL
2026-04-06T12:32:20 | INFO     | GPS-A5               | [Publicado] velocidad= 24.2 km/h | nivel=NORMAL
2026-04-06T12:32:30 | INFO     | GPS-A5               | [Publicado] velocidad= 34.1 km/h | nivel=NORMAL
2026-04-06T12:32:40 | INFO     | GPS-A5               | [Publicado] velocidad= 35.3 km/h | nivel=NORMAL
