2026-04-06T12:22:10 | INFO     | GPS-B1               | Sensor iniciado | intersección=INT-B1 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-B1               | [Publicado] velocidad= 39.3 km/h | nivel=BAJA
2026-04-06T12:22:20 | INFO     | GPS-B1               | [Publicado] velocidad= 31.4 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-B1               | [Publicado] velocidad= 22.0 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-B1               | [Publicado] velocidad= 12.0 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-B1               | [Publicado] velocidad= 16.7 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-B1               | [Publicado] velocidad= 14.5 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-B1               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-B1               | [Publicado] velocidad= 41.5 km/h | nivel=BAJA
2026-04-06T12:23:30 | INFO     | GPS-B1               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-B1               | [Publicado] velocidad= 33.4 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-B1               | [Publicado] velocidad= 26.2 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-B1               | [Publicado] velocidad= 48.7 km/h | nivel=BAJA
2026-04-06T12:24:10 | INFO     | GPS-B1               | [Publicado] velocidad= 31.6 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-B1               | [Publicado] velocidad= 22.2 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-B1               | [Publicado] velocidad= 20.6 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-B1               | [Publicado] velocidad= 28.8 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-B1               | [Publicado] velocidad= 42.1 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-B1               | [Publicado] velocidad= 22.8 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-B1               | [Publicado] velocidad= 30.3 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-B1               | [Publicado] velocidad= 16.9 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-B1               | [Publicado] velocidad= 22.4 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-B1               | [Publicado] velocidad= 36.1 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-B1               | [Publicado] velocidad= 13.4 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-B1               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-B1               | [Publicado] velocidad= 48.0 km/h | nivel=BAJA
2026-04-06T12:26:20 | INFO     | GPS-B1               | [Publicado] velocidad= 15.5 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-B1               | [Publicado] velocidad= 14.9 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-B1               | [Publicado] velocidad= 29.7 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-B1               | [Publicado] velocidad= 23.5 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-B1               | [Publicado] velocidad= 12.0 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-B1               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-B1               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
