2026-04-06T12:22:10 | INFO     | GPS-B4               | Sensor iniciado | intersección=INT-B4 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-B4               | [Publicado] velocidad= 32.6 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-B4               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-B4               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-B4               | [Publicado] velocidad= 39.4 km/h | nivel=BAJA
2026-04-06T12:22:50 | INFO     | GPS-B4               | [Publicado] velocidad= 36.6 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-B4               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-B4               | [Publicado] velocidad= 30.8 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-B4               | [Publicado] velocidad= 13.9 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-B4               | [Publicado] velocidad= 28.1 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-B4               | [Publicado] velocidad= 10.4 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-B4               | [Publicado] velocidad= 11.1 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-B4               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-B4               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-B4               | [Publicado] velocidad= 35.2 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-B4               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
2026-04-06T12:24:40 | INFO     | GPS-B4               | [Publicado] velocidad= 47.5 km/h | nivel=BAJA
2026-04-06T12:24:50 | INFO     | GPS-B4               | [Publicado] velocidad= 20.9 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-B4               | [Publicado] velocidad= 42.4 km/h | nivel=BAJA
2026-04-06T12:25:10 | INFO     | GPS-B4               | [Publicado] velocidad= 17.2 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-B4               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-B4               | [Publicado] velocidad= 34.0 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-B4               | [Publicado] velocidad= 15.7 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-B4               | [Publicado] velocidad= 17.3 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-B4               | [Publicado] velocidad= 23.8 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-B4               | [Publicado] velocidad= 36.6 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-B4               | [Publicado] velocidad= 11.9 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-B4               | [Publicado] velocidad= 16.8 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-B4               | [Publicado] velocidad= 26.5 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-B4               | [Publicado] velocidad= 16.3 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-B4               | [Publicado] velocidad= 16.1 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-B4               | [Publicado] velocidad= 21.9 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-B4               | [Publicado] velocidad= 18.8 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-B4               | [Publicado] velocidad= 19.3 km/h | nivel=NORMAL
