2026-04-06T12:22:10 | INFO     | GPS-C4               | Sensor iniciado | intersección=INT-C4 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-C4               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-C4               | [Publicado] velocidad= 35.4 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-C4               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-C4               | [Publicado] velocidad=  6.7 km/h | nivel=ALTA
2026-04-06T12:22:50 | INFO     | GPS-C4               | [Publicado] velocidad= 27.2 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-C4               | [Publicado] velocidad= 24.1 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-C4               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-C4               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:23:30 | INFO     | GPS-C4               | [Publicado] velocidad= 35.7 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-C4               | [Publicado] velocidad= 17.0 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-C4               | [Publicado] velocidad= 40.1 km/h | nivel=BAJA
2026-04-06T12:24:00 | INFO     | GPS-C4               | [Publicado] velocidad= 16.2 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-C4               | [Publicado] velocidad= 34.9 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-C4               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-C4               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-C4               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-C4               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-C4               | [Publicado] velocidad= 48.1 km/h | nivel=BAJA
2026-04-06T12:25:10 | INFO     | GPS-C4               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-C4               | [Publicado] velocidad= 44.0 km/h | nivel=BAJA
2026-04-06T12:25:30 | INFO     | GPS-C4               | [Publicado] velocidad= 18.3 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-C4               | [Publicado] velocidad= 35.7 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-C4               | [Publicado] velocidad= 36.0 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-C4               | [Publicado] velocidad= 43.7 km/h | nivel=BAJA
2026-04-06T12:26:10 | INFO     | GPS-C4               | [Publicado] velocidad= 44.0 km/h | nivel=BAJA
2026-04-06T12:26:20 | INFO     | GPS-C4               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-C4               | [Publicado] velocidad= 25.9 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-C4               | [Publicado] velocidad= 19.6 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-C4               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-C4               | [Publicado] velocidad= 19.0 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-C4               | [Publicado] velocidad= 12.9 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-C4               | [Publicado] velocidad= 24.7 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-C4               | [Publicado] velocidad= 23.9 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-C4               | [Publicado] velocidad= 16.8 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-C4               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-C4               | [Publicado] velocidad= 44.9 km/h | nivel=BAJA
2026-04-06T12:28:10 | INFO     | GPS-C4               | [Publicado] velocidad= 16.1 km/h | nivel=NORMAL
2026-04-06T12:28:21 | INFO     | GPS-C4               | [Publicado] velocidad= 35.3 km/h | nivel=NORMAL
2026-04-06T12:28:31 | INFO     | GPS-C4               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:28:41 | INFO     | GPS-C4               | [Publicado] velocidad= 39.1 km/h | nivel=BAJA
2026-04-06T12:28:51 | INFO     | GPS-C4               | [Publicado] velocidad= 19.5 km/h | nivel=NORMAL
2026-04-06T12:29:01 | INFO     | GPS-C4               | [Publicado] velocidad= 32.0 km/h | nivel=NORMAL
2026-04-06T12:29:11 | INFO     | GPS-C4               | [Publicado] velocidad= 24.3 km/h | nivel=NORMAL
2026-04-06T12:29:21 | INFO     | GPS-C4               | [Publicado] velocidad= 29.2 km/h | nivel=NORMAL
2026-04-06T12:29:31 | INFO     | GPS-C4               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:29:41 | INFO     | GPS-C4               | [Publicado] velocidad= 19.8 km/h | nivel=NORMAL
