2026-04-06T12:22:10 | INFO     | GPS-D2               | Sensor iniciado | intersección=INT-D2 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-D2               | [Publicado] velocidad=  9.6 km/h | nivel=ALTA
2026-04-06T12:22:20 | INFO     | GPS-D2               | [Publicado] velocidad= 33.9 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-D2               | [Publicado] velocidad= 12.8 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-D2               | [Publicado] velocidad= 20.9 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-D2               | [Publicado] velocidad= 48.1 km/h | nivel=BAJA
2026-04-06T12:23:00 | INFO     | GPS-D2               | [Publicado] velocidad= 15.1 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-D2               | [Publicado] velocidad= 38.6 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-D2               | [Publicado] velocidad= 32.2 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-D2               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-D2               | [Publicado] velocidad= 36.1 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-D2               | [Publicado] velocidad= 34.5 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-D2               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-D2               | [Publicado] velocidad= 21.4 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-D2               | [Publicado] velocidad= 10.9 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-D2               | [Publicado] velocidad= 27.9 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-D2               | [Publicado] velocidad= 25.9 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-D2               | [Publicado] velocidad= 41.0 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-D2               | [Publicado] velocidad= 24.8 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-D2               | [Publicado] velocidad= 25.2 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-D2               | [Publicado] velocidad= 36.8 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-D2               | [Publicado] velocidad= 27.6 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-D2               | [Publicado] velocidad= 27.6 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-D2               | [Publicado] velocidad= 19.1 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-D2               | [Publicado] velocidad= 38.2 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-D2               | [Publicado] velocidad= 25.1 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-D2               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-D2               | [Publicado] velocidad= 27.5 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-D2               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-D2               | [Publicado] velocidad= 26.6 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-D2               | [Publicado] velocidad= 14.8 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-D2               | [Publicado] velocidad= 28.9 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-D2               | [Publicado] velocidad= 28.1 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-D2               | [Publicado] velocidad= 41.3 km/h | nivel=BAJA
2026-04-06T12:27:40 | INFO     | GPS-D2               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-D2               | [Publicado] velocidad= 38.9 km/h | nivel=NORMAL
2026-04-06T12:28:00 | INFO     | GPS-D2               | [Publicado] velocidad= 15.8 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-D2               | [Publicado] velocidad= 32.5 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-D2               | [Publicado] velocidad= 15.9 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-D2               | [Publicado] velocidad= 35.8 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-D2               | [Publicado] velocidad= 12.8 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-D2               | [Publicado] velocidad= 11.4 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-D2               | [Publicado] velocidad= 35.1 km/h | nivel=NORMAL
2026-04-06T12:29:10 | INFO     | GPS-D2               | [Publicado] velocidad= 21.2 km/h | nivel=NORMAL
2026-04-06T12:29:20 | INFO     | GPS-D2               | [Publicado] velocidad= 20.1 km/h | nivel=NORMAL
2026-04-06T12:29:30 | INFO     | GPS-D2               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:29:40 | INFO     | GPS-D2               | [Publicado] velocidad= 43.6 km/h | nivel=BAJA
2026-04-06T12:29:50 | INFO     | GPS-D2               | [Publicado] velocidad= 25.3 km/h | nivel=NORMAL
2026-04-06T12:30:00 | INFO     | GPS-D2               | [Publicado] velocidad= 28.7 km/h | nivel=NORMAL
2026-04-06T12:30:10 | INFO     | GPS-D2               | [Publicado] velocidad= 17.4 km/h | nivel=NORMAL
2026-04-06T12:30:20 | INFO     | GPS-D2               | [Publicado] velocidad= 21.3 km/h | nivel=NORMAL
2026-04-06T12:30:30 | INFO     | GPS-D2               | [Publicado] velocidad= 17.6 km/h | nivel=NORMAL
2026-04-06T12:30:40 | INFO     | GPS-D2               | [Publicado] velocidad= 18.5 km/h | nivel=NORMAL
2026-04-06T12:30:50 | INFO     | GPS-D2               | [Publicado] velocidad= 18.4 km/h | nivel=NORMAL
2026-04-06T12:31:00 | INFO     | GPS-D2               | [Publicado] velocidad= 23.2 km/h | nivel=NORMAL
2026-04-06T12:31:10 | INFO     | GPS-D2               | [Publicado] velocidad= 43.8 km/h | nivel=BAJA
