2026-04-06T12:22:10 | INFO     | GPS-D4               | Sensor iniciado | intersección=INT-D4 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-D4               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-D4               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-D4               | [Publicado] velocidad= 46.1 km/h | nivel=BAJA
2026-04-06T12:22:40 | INFO     | GPS-D4               | [Publicado] velocidad= 41.1 km/h | nivel=BAJA
2026-04-06T12:22:50 | INFO     | GPS-D4               | [Publicado] velocidad= 12.1 km/h | nivel=NORMAL
2026-04-06T12:23:00 | INFO     | GPS-D4               | [Publicado] velocidad= 29.9 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-D4               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-D4               | [Publicado] velocidad= 19.9 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-D4               | [Publicado] velocidad= 20.7 km/h | nivel=NORMAL
2026-04-06T12:23:40 | INFO     | GPS-D4               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-D4               | [Publicado] velocidad= 36.3 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-D4               | [Publicado] velocidad= 21.0 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-D4               | [Publicado] velocidad=  9.6 km/h | nivel=ALTA
2026-04-06T12:24:20 | INFO     | GPS-D4               | [Publicado] velocidad= 38.0 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-D4               | [Publicado] velocidad= 19.3 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-D4               | [Publicado] velocidad= 35.8 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-D4               | [Publicado] velocidad= 42.6 km/h | nivel=BAJA
2026-04-06T12:25:00 | INFO     | GPS-D4               | [Publicado] velocidad= 11.7 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-D4               | [Publicado] velocidad= 22.1 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-D4               | [Publicado] velocidad= 32.7 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-D4               | [Publicado] velocidad= 26.6 km/h | nivel=NORMAL
2026-04-06T12:25:40 | INFO     | GPS-D4               | [Publicado] velocidad= 22.3 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-D4               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-D4               | [Publicado] velocidad= 33.9 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-D4               | [Publicado] velocidad= 17.7 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-D4               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:26:30 | INFO     | GPS-D4               | [Publicado] velocidad= 18.9 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-D4               | [Publicado] velocidad= 35.4 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-D4               | [Publicado] velocidad= 20.8 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-D4               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-D4               | [Publicado] velocidad= 18.6 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-D4               | [Publicado] velocidad= 38.3 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-D4               | [Publicado] velocidad= 24.5 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-D4               | [Publicado] velocidad= 15.0 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-D4               | [Publicado] velocidad= 44.5 km/h | nivel=BAJA
2026-04-06T12:28:00 | INFO     | GPS-D4               | [Publicado] velocidad= 43.0 km/h | nivel=BAJA
2026-04-06T12:28:10 | INFO     | GPS-D4               | [Publicado] velocidad= 27.1 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-D4               | [Publicado] velocidad= 34.7 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-D4               | [Publicado] velocidad= 32.8 km/h | nivel=NORMAL
2026-04-06T12:28:40 | INFO     | GPS-D4               | [Publicado] velocidad= 38.3 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-D4               | [Publicado] velocidad= 10.2 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-D4               | [Publicado] velocidad= 28.5 km/h | nivel=NORMAL
2026-04-06T12:29:11 | INFO     | GPS-D4               | [Publicado] velocidad= 29.3 km/h | nivel=NORMAL
2026-04-06T12:29:21 | INFO     | GPS-D4               | [Publicado] velocidad= 16.7 km/h | nivel=NORMAL
2026-04-06T12:29:31 | INFO     | GPS-D4               | [Publicado] velocidad= 49.9 km/h | nivel=BAJA
2026-04-06T12:29:41 | INFO     | GPS-D4               | [Publicado] velocidad= 40.5 km/h | nivel=BAJA
2026-04-06T12:29:51 | INFO     | GPS-D4               | [Publicado] velocidad= 10.8 km/h | nivel=NORMAL
2026-04-06T12:30:01 | INFO     | GPS-D4               | [Publicado] velocidad= 12.2 km/h | nivel=NORMAL
2026-04-06T12:30:11 | INFO     | GPS-D4               | [Publicado] velocidad= 15.0 km/h | nivel=NORMAL
2026-04-06T12:30:21 | INFO     | GPS-D4               | [Publicado] velocidad= 32.7 km/h | nivel=NORMAL
2026-04-06T12:30:31 | INFO     | GPS-D4               | [Publicado] velocidad= 49.4 km/h | nivel=BAJA
2026-04-06T12:30:41 | INFO     | GPS-D4               | [Publicado] velocidad= 33.2 km/h | nivel=NORMAL
2026-04-06T12:30:51 | INFO     | GPS-D4               | [Publicado] velocidad= 30.3 km/h | nivel=NORMAL
2026-04-06T12:31:01 | INFO     | GPS-D4               | [Publicado] velocidad= 30.7 km/h | nivel=NORMAL
2026-04-06T12:31:11 | INFO     | GPS-D4               | [Publicado] velocidad= 39.1 km/h | nivel=BAJA
2026-04-06T12:31:21 | INFO     | GPS-D4               | [Publicado] velocidad= 20.5 km/h | nivel=NORMAL
2026-04-06T12:31:31 | INFO     | GPS-D4               | [Publicado] velocidad=  9.0 km/h | nivel=ALTA
2026-04-06T12:31:41 | INFO     | GPS-D4               | [Publicado] velocidad= 37.7 km/h | nivel=NORMAL
2026-04-06T12:31:51 | INFO     | GPS-D4               | [Publicado] velocidad= 25.9 km/h | nivel=NORMAL
2026-04-06T12:32:01 | INFO     | GPS-D4               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:32:11 | INFO     | GPS-D4               | [Publicado] velocidad= 30.9 km/h | nivel=NORMAL
2026-04-06T12:32:21 | INFO     | GPS-D4               | [Publicado] velocidad= 19.0 km/h | nivel=NORMAL
2026-04-06T12:32:31 | INFO     | GPS-D4               | [Publicado] velocidad= 13.1 km/h | nivel=NORMAL
2026-04-06T12:32:41 | INFO     | GPS-D4               | [Publicado] velocidad= 35.4 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-D4               | [Publicado] velocidad= 29.5 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-D4               | [Publicado] velocidad=  9.9 km/h | nivel=ALTA
2026-04-06T12:33:11 | INFO     | GPS-D4               | [Publicado] velocidad= 15.3 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-D4               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-D4               | [Publicado] velocidad= 20.1 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-D4               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-D4               | [Publicado] velocidad= 45.1 km/h | nivel=BAJA
2026-04-06T12:34:01 | INFO     | GPS-D4               | [Publicado] velocidad= 37.3 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-D4               | [Publicado] velocidad= 41.0 km/h | nivel=BAJA
2026-04-06T12:34:21 | INFO     | GPS-D4               | [Publicado] velocidad= 14.2 km/h | nivel=NORMAL
2026-04-06T12:34:31 | INFO     | GPS-D4               | [Publicado] velocidad= 24.4 km/h | nivel=NORMAL
2026-04-06T12:34:41 | INFO     | GPS-D4               | [Publicado] velocidad= 25.1 km/h | nivel=NORMAL
2026-04-06T12:34:51 | INFO     | GPS-D4               | [Publicado] velocidad= 23.1 km/h | nivel=NORMAL
2026-04-06T12:35:01 | INFO     | GPS-D4               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:35:11 | INFO     | GPS-D4               | [Publicado] velocidad= 14.0 km/h | nivel=NORMAL
2026-04-06T12:35:21 | INFO     | GPS-D4               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
2026-04-06T12:35:31 | INFO     | GPS-D4               | [Publicado] velocidad= 13.7 km/h | nivel=NORMAL
2026-04-06T12:35:41 | INFO     | GPS-D4               | [Publicado] velocidad= 15.7 km/h | nivel=NORMAL
2026-04-06T12:35:51 | INFO     | GPS-D4               | [Publicado] velocidad= 40.0 km/h | nivel=BAJA
