2026-04-06T12:22:10 | INFO     | GPS-E5               | Sensor iniciado | intersección=INT-E5 | intervalo=10s | broker=10.43.99.128:5555
2026-04-06T12:22:10 | INFO     | GPS-E5               | [Publicado] velocidad= 15.4 km/h | nivel=NORMAL
2026-04-06T12:22:20 | INFO     | GPS-E5               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:22:30 | INFO     | GPS-E5               | [Publicado] velocidad= 23.6 km/h | nivel=NORMAL
2026-04-06T12:22:40 | INFO     | GPS-E5               | [Publicado] velocidad= 16.3 km/h | nivel=NORMAL
2026-04-06T12:22:50 | INFO     | GPS-E5               | [Publicado] velocidad= 41.8 km/h | nivel=BAJA
2026-04-06T12:23:00 | INFO     | GPS-E5               | [Publicado] velocidad= 24.5 km/h | nivel=NORMAL
2026-04-06T12:23:10 | INFO     | GPS-E5               | [Publicado] velocidad= 16.7 km/h | nivel=NORMAL
2026-04-06T12:23:20 | INFO     | GPS-E5               | [Publicado] velocidad= 16.4 km/h | nivel=NORMAL
2026-04-06T12:23:30 | INFO     | GPS-E5               | [Publicado] velocidad= 41.1 km/h | nivel=BAJA
2026-04-06T12:23:40 | INFO     | GPS-E5               | [Publicado] velocidad= 31.9 km/h | nivel=NORMAL
2026-04-06T12:23:50 | INFO     | GPS-E5               | [Publicado] velocidad= 21.1 km/h | nivel=NORMAL
2026-04-06T12:24:00 | INFO     | GPS-E5               | [Publicado] velocidad= 35.7 km/h | nivel=NORMAL
2026-04-06T12:24:10 | INFO     | GPS-E5               | [Publicado] velocidad= 22.9 km/h | nivel=NORMAL
2026-04-06T12:24:20 | INFO     | GPS-E5               | [Publicado] velocidad= 30.2 km/h | nivel=NORMAL
2026-04-06T12:24:30 | INFO     | GPS-E5               | [Publicado] velocidad= 23.0 km/h | nivel=NORMAL
2026-04-06T12:24:40 | INFO     | GPS-E5               | [Publicado] velocidad= 24.6 km/h | nivel=NORMAL
2026-04-06T12:24:50 | INFO     | GPS-E5               | [Publicado] velocidad= 37.5 km/h | nivel=NORMAL
2026-04-06T12:25:00 | INFO     | GPS-E5               | [Publicado] velocidad= 21.5 km/h | nivel=NORMAL
2026-04-06T12:25:10 | INFO     | GPS-E5               | [Publicado] velocidad= 13.5 km/h | nivel=NORMAL
2026-04-06T12:25:20 | INFO     | GPS-E5               | [Publicado] velocidad= 25.6 km/h | nivel=NORMAL
2026-04-06T12:25:30 | INFO     | GPS-E5               | [Publicado] velocidad= 44.6 km/h | nivel=BAJA
2026-04-06T12:25:40 | INFO     | GPS-E5               | [Publicado] velocidad= 13.0 km/h | nivel=NORMAL
2026-04-06T12:25:50 | INFO     | GPS-E5               | [Publicado] velocidad= 34.6 km/h | nivel=NORMAL
2026-04-06T12:26:00 | INFO     | GPS-E5               | [Publicado] velocidad= 28.2 km/h | nivel=NORMAL
2026-04-06T12:26:10 | INFO     | GPS-E5               | [Publicado] velocidad= 32.3 km/h | nivel=NORMAL
2026-04-06T12:26:20 | INFO     | GPS-E5               | [Publicado] velocidad=  9.3 km/h | nivel=ALTA
2026-04-06T12:26:30 | INFO     | GPS-E5               | [Publicado] velocidad= 21.6 km/h | nivel=NORMAL
2026-04-06T12:26:40 | INFO     | GPS-E5               | [Publicado] velocidad= 17.0 km/h | nivel=NORMAL
2026-04-06T12:26:50 | INFO     | GPS-E5               | [Publicado] velocidad= 22.5 km/h | nivel=NORMAL
2026-04-06T12:27:00 | INFO     | GPS-E5               | [Publicado] velocidad= 29.6 km/h | nivel=NORMAL
2026-04-06T12:27:10 | INFO     | GPS-E5               | [Publicado] velocidad= 23.9 km/h | nivel=NORMAL
2026-04-06T12:27:20 | INFO     | GPS-E5               | [Publicado] velocidad= 22.7 km/h | nivel=NORMAL
2026-04-06T12:27:30 | INFO     | GPS-E5               | [Publicado] velocidad= 32.9 km/h | nivel=NORMAL
2026-04-06T12:27:40 | INFO     | GPS-E5               | [Publicado] velocidad= 15.1 km/h | nivel=NORMAL
2026-04-06T12:27:50 | INFO     | GPS-E5               | [Publicado] velocidad= 43.1 km/h | nivel=BAJA
2026-04-06T12:28:00 | INFO     | GPS-E5               | [Publicado] velocidad= 22.9 km/h | nivel=NORMAL
2026-04-06T12:28:10 | INFO     | GPS-E5               | [Publicado] velocidad= 21.9 km/h | nivel=NORMAL
2026-04-06T12:28:20 | INFO     | GPS-E5               | [Publicado] velocidad= 29.9 km/h | nivel=NORMAL
2026-04-06T12:28:30 | INFO     | GPS-E5               | [Publicado] velocidad= 39.6 km/h | nivel=BAJA
2026-04-06T12:28:40 | INFO     | GPS-E5               | [Publicado] velocidad= 20.0 km/h | nivel=NORMAL
2026-04-06T12:28:50 | INFO     | GPS-E5               | [Publicado] velocidad= 20.3 km/h | nivel=NORMAL
2026-04-06T12:29:00 | INFO     | GPS-E5               | [Publicado] velocidad= 27.3 km/h | nivel=NORMAL
2026-04-06T12:29:11 | INFO     | GPS-E5               | [Publicado] velocidad= 27.1 km/h | nivel=NORMAL
2026-04-06T12:29:21 | INFO     | GPS-E5               | [Publicado] velocidad= 22.2 km/h | nivel=NORMAL
2026-04-06T12:29:31 | INFO     | GPS-E5               | [Publicado] velocidad= 19.7 km/h | nivel=NORMAL
2026-04-06T12:29:41 | INFO     | GPS-E5               | [Publicado] velocidad= 14.1 km/h | nivel=NORMAL
2026-04-06T12:29:51 | INFO     | GPS-E5               | [Publicado] velocidad= 12.4 km/h | nivel=NORMAL
2026-04-06T12:30:01 | INFO     | GPS-E5               | [Publicado] velocidad= 33.0 km/h | nivel=NORMAL
2026-04-06T12:30:11 | INFO     | GPS-E5               | [Publicado] velocidad= 47.0 km/h | nivel=BAJA
2026-04-06T12:30:21 | INFO     | GPS-E5               | [Publicado] velocidad= 12.2 km/h | nivel=NORMAL
2026-04-06T12:30:31 | INFO     | GPS-E5               | [Publicado] velocidad= 19.4 km/h | nivel=NORMAL
2026-04-06T12:30:41 | INFO     | GPS-E5               | [Publicado] velocidad= 31.7 km/h | nivel=NORMAL
2026-04-06T12:30:51 | INFO     | GPS-E5               | [Publicado] velocidad= 31.5 km/h | nivel=NORMAL
2026-04-06T12:31:01 | INFO     | GPS-E5               | [Publicado] velocidad= 25.4 km/h | nivel=NORMAL
2026-04-06T12:31:11 | INFO     | GPS-E5               | [Publicado] velocidad= 33.8 km/h | nivel=NORMAL
2026-04-06T12:31:21 | INFO     | GPS-E5               | [Publicado] velocidad= 13.4 km/h | nivel=NORMAL
2026-04-06T12:31:31 | INFO     | GPS-E5               | [Publicado] velocidad=  9.5 km/h | nivel=ALTA
2026-04-06T12:31:41 | INFO     | GPS-E5               | [Publicado] velocidad= 16.1 km/h | nivel=NORMAL
2026-04-06T12:31:51 | INFO     | GPS-E5               | [Publicado] velocidad= 27.0 km/h | nivel=NORMAL
2026-04-06T12:32:01 | INFO     | GPS-E5               | [Publicado] velocidad= 37.2 km/h | nivel=NORMAL
2026-04-06T12:32:11 | INFO     | GPS-E5               | [Publicado] velocidad= 41.5 km/h | nivel=BAJA
2026-04-06T12:32:21 | INFO     | GPS-E5               | [Publicado] velocidad= 37.0 km/h | nivel=NORMAL
2026-04-06T12:32:31 | INFO     | GPS-E5               | [Publicado] velocidad= 20.2 km/h | nivel=NORMAL
2026-04-06T12:32:41 | INFO     | GPS-E5               | [Publicado] velocidad= 22.3 km/h | nivel=NORMAL
2026-04-06T12:32:51 | INFO     | GPS-E5               | [Publicado] velocidad= 24.3 km/h | nivel=NORMAL
2026-04-06T12:33:01 | INFO     | GPS-E5               | [Publicado] velocidad= 44.5 km/h | nivel=BAJA
2026-04-06T12:33:11 | INFO     | GPS-E5               | [Publicado] velocidad= 27.0 km/h | nivel=NORMAL
2026-04-06T12:33:21 | INFO     | GPS-E5               | [Publicado] velocidad= 37.4 km/h | nivel=NORMAL
2026-04-06T12:33:31 | INFO     | GPS-E5               | [Publicado] velocidad= 10.3 km/h | nivel=NORMAL
2026-04-06T12:33:41 | INFO     | GPS-E5               | [Publicado] velocidad= 27.6 km/h | nivel=NORMAL
2026-04-06T12:33:51 | INFO     | GPS-E5               | [Publicado] velocidad= 21.2 km/h | nivel=NORMAL
2026-04-06T12:34:01 | INFO     | GPS-E5               | [Publicado] velocidad= 17.1 km/h | nivel=NORMAL
2026-04-06T12:34:11 | INFO     | GPS-E5               | [Publicado] velocidad= 45.3 km/h | nivel=BAJA
2026-04-06T12:34:21 | INFO     | GPS-E5               | [Publicado] velocidad= 34.2 km/h | nivel=NORMAL
